fixture,grid,precision,pair,left_form,right_form,left_fires,right_fires,left_only,right_only,cofire,neither,p_right_given_left,p_left_given_right,asymmetry_ratio,cofire_same_sign,cofire_opposite_sign
schwarzschild,reference,float32,F1_F2,F1,F2,59,25,44,10,15,68,0.254237,0.600000,0.227273,15,0
schwarzschild,reference,float32,F1_F4,F1,F4,59,80,27,48,32,30,0.542373,0.400000,1.777778,18,14
schwarzschild,reference,float32,F2_F4,F2,F4,25,80,23,78,2,34,0.080000,0.025000,3.391304,2,0
schwarzschild,reference,float64,F1_F2,F1,F2,69,28,53,12,16,56,0.231884,0.571429,0.226415,16,0
schwarzschild,reference,float64,F1_F4,F1,F4,69,92,21,44,48,24,0.695652,0.521739,2.095238,23,25
schwarzschild,reference,float64,F2_F4,F2,F4,28,92,24,88,4,21,0.142857,0.043478,3.666667,4,0
schwarzschild,coarse_perturbation,float32,F1_F2,F1,F2,54,22,39,7,15,60,0.277778,0.681818,0.179487,15,0
schwarzschild,coarse_perturbation,float32,F1_F4,F1,F4,54,67,25,38,29,29,0.537037,0.432836,1.520000,17,12
schwarzschild,coarse_perturbation,float32,F2_F4,F2,F4,22,67,18,63,4,36,0.181818,0.059701,3.500000,4,0
schwarzschild,coarse_perturbation,float64,F1_F2,F1,F2,58,24,41,7,17,56,0.293103,0.708333,0.170732,17,0
schwarzschild,coarse_perturbation,float64,F1_F4,F1,F4,58,72,24,38,34,25,0.586207,0.472222,1.583333,19,15
schwarzschild,coarse_perturbation,float64,F2_F4,F2,F4,24,72,21,69,3,28,0.125000,0.041667,3.285714,3,0
schwarzschild,fine_perturbation,float32,F1_F2,F1,F2,65,23,53,11,12,61,0.184615,0.521739,0.207547,12,0
schwarzschild,fine_perturbation,float32,F1_F4,F1,F4,65,90,20,45,45,27,0.692308,0.500000,2.250000,22,23
schwarzschild,fine_perturbation,float32,F2_F4,F2,F4,23,90,16,83,7,31,0.304348,0.077778,5.187500,7,0
schwarzschild,fine_perturbation,float64,F1_F2,F1,F2,68,26,49,7,19,62,0.279412,0.730769,0.142857,19,0
schwarzschild,fine_perturbation,float64,F1_F4,F1,F4,68,83,30,45,38,24,0.558824,0.457831,1.500000,25,13
schwarzschild,fine_perturbation,float64,F2_F4,F2,F4,26,83,18,75,8,36,0.307692,0.096386,4.166667,8,0
schwarzschild,independent_uniform,float32,F1_F2,F1,F2,65,79,14,28,51,44,0.784615,0.645570,2.000000,51,0
schwarzschild,independent_uniform,float32,F1_F4,F1,F4,65,24,53,12,12,60,0.184615,0.500000,0.226415,9,3
schwarzschild,independent_uniform,float32,F2_F4,F2,F4,79,24,66,11,13,47,0.164557,0.541667,0.166667,13,0
schwarzschild,independent_uniform,float64,F1_F2,F1,F2,70,93,13,36,57,31,0.814286,0.612903,2.769231,57,0
schwarzschild,independent_uniform,float64,F1_F4,F1,F4,70,29,58,17,12,50,0.171429,0.413793,0.293103,12,0
schwarzschild,independent_uniform,float64,F2_F4,F2,F4,93,29,74,10,19,34,0.204301,0.655172,0.135135,19,0
sr,reference,float32,F1_F2,F1,F2,28,92,0,64,28,45,1.000000,0.304348,null,28,0
sr,reference,float32,F1_F4,F1,F4,28,42,23,37,5,72,0.178571,0.119048,1.608696,5,0
sr,reference,float32,F2_F4,F2,F4,92,42,69,19,23,26,0.250000,0.547619,0.275362,22,1
sr,reference,float64,F1_F2,F1,F2,34,95,0,61,34,42,1.000000,0.357895,null,34,0
sr,reference,float64,F1_F4,F1,F4,34,27,30,23,4,80,0.117647,0.148148,0.766667,4,0
sr,reference,float64,F2_F4,F2,F4,95,27,82,14,13,28,0.136842,0.481481,0.170732,12,1
sr,coarse_perturbation,float32,F1_F2,F1,F2,32,85,0,53,32,52,1.000000,0.376471,null,32,0
sr,coarse_perturbation,float32,F1_F4,F1,F4,32,35,24,27,8,78,0.250000,0.228571,1.125000,8,0
sr,coarse_perturbation,float32,F2_F4,F2,F4,85,35,68,18,17,34,0.200000,0.485714,0.264706,15,2
sr,coarse_perturbation,float64,F1_F2,F1,F2,24,93,0,69,24,44,1.000000,0.258065,null,24,0
sr,coarse_perturbation,float64,F1_F4,F1,F4,24,39,17,32,7,81,0.291667,0.179487,1.882353,7,0
sr,coarse_perturbation,float64,F2_F4,F2,F4,93,39,72,18,21,26,0.225806,0.538462,0.250000,19,2
sr,fine_perturbation,float32,F1_F2,F1,F2,33,96,0,63,33,41,1.000000,0.343750,null,33,0
sr,fine_perturbation,float32,F1_F4,F1,F4,33,42,25,34,8,70,0.242424,0.190476,1.360000,8,0
sr,fine_perturbation,float32,F2_F4,F2,F4,96,42,73,19,23,22,0.239583,0.547619,0.260274,21,2
sr,fine_perturbation,float64,F1_F2,F1,F2,27,87,0,60,27,50,1.000000,0.310345,null,27,0
sr,fine_perturbation,float64,F1_F4,F1,F4,27,42,16,31,11,79,0.407407,0.261905,1.937500,11,0
sr,fine_perturbation,float64,F2_F4,F2,F4,87,42,61,16,26,34,0.298851,0.619048,0.262295,25,1
sr,independent_uniform,float32,F1_F2,F1,F2,22,81,0,59,22,56,1.000000,0.271605,null,22,0
sr,independent_uniform,float32,F1_F4,F1,F4,22,38,16,32,6,83,0.272727,0.157895,2.000000,6,0
sr,independent_uniform,float32,F2_F4,F2,F4,81,38,62,19,19,37,0.234568,0.500000,0.306452,19,0
sr,independent_uniform,float64,F1_F2,F1,F2,24,89,0,65,24,48,1.000000,0.269663,null,24,0
sr,independent_uniform,float64,F1_F4,F1,F4,24,33,20,29,4,84,0.166667,0.121212,1.450000,4,0
sr,independent_uniform,float64,F2_F4,F2,F4,89,33,72,16,17,32,0.191011,0.515152,0.222222,17,0
